Name,Url,Authority,Started On,Finished On,License Number
A Brief History of Human Space Flight,https://www.coursera.org/account/accomplishments/certificate/65BMDF656CUE,Coursera,Jun 2016,,65BMDF656CUE
Programming For Everybody (Getting Started With Python),https://www.coursera.org/account/accomplishments/certificate/JH8J2BH5EQYE,Coursera,Sep 2016,,JH8J2BH5EQYE
    The Unix Workbench,https://www.coursera.org/account/accomplishments/certificate/4DTV2GWUV26T,Coursera,Aug 2018,,4DTV2GWUV26T
CyberStart America Bronze Award 2022-23,https://api.badgr.io/public/assertions/G4rORUtmRlmbT38Zkz7cDQ,Canvas Credentials (Badgr),Jan 2023,,63b43d56a3598b4f1cb59e82
CyberStart America Silver Award 2022-23,https://api.badgr.io/public/assertions/-GG9WMJxT9q1VY7-m0XPEg,Canvas Credentials (Badgr),Mar 2023,,6419a55ba35a3c01c9ac7b1d
Dual Use Research of Concern (DURC),https://www.citiprogram.org/verify/?w98260b26-53fc-4da3-a4d3-cbd7ce2d0910-55273329,CITI Program,Apr 2023,Apr 2026,55273329
Biomedical Responsible Conduct of Research,https://www.citiprogram.org/verify/?w84c769df-aeec-4c95-b7f5-5f072777440a-55273327,CITI Program,Apr 2023,Apr 2026,55273327
Conflict of Interest,https://www.citiprogram.org/verify/?w2a594031-1b52-4d2e-90ae-cbdff521fce1-55273330,CITI Program,Apr 2023,Apr 2026,55273330
Laboratory Access,https://www.citiprogram.org/verify/?w2fe8d9a0-0619-45bc-9bdb-d7fb81b3fcae-55273328,CITI Program,Apr 2023,Apr 2026,55273328
National Cyber Scholarship Semifinalist 2023,https://api.badgr.io/public/assertions/0HEytRgZRNqxDe7vCHn50Q,Canvas Credentials (Badgr),May 2023,,645cccc9daafd71bc29d1224
National Cyber Scholar 2023,https://api.badgr.io/public/assertions/G0pICcyjQrOqIfYhSfbFmQ,Canvas Credentials (Badgr),May 2023,,645cc022daafd71bc29cf042
Java (Basic),https://www.hackerrank.com/certificates/c80f9202e59b,HackerRank,Jun 2023,,c80f9202e59b
Intro to Machine Learning,https://www.kaggle.com/learn/certification/supernovadkb/intro-to-machine-learning,Kaggle,Jan 2021,,
SANS Foundations Alumni,https://api.badgr.io/public/assertions/sg9CsoxDQaezbjBubXg-Kw,Canvas Credentials (Badgr),Jul 2023,,64b4d06495b0c02f69eaab68
GIAC Foundational Cybersecurity Technologies (GFACT),https://www.credly.com/badges/66c3c457-5bf5-412a-889b-061211f3fd16/linked_in_profile,GIAC Certifications,Aug 2023,Aug 2027,
National Cyber Scholar with Honors 2023,https://api.badgr.io/public/assertions/t6xS3chbQACURHaJMbQ7kw,Canvas Credentials (Badgr),Oct 2023,,6529036ff674ca53721c7b2c
CyberStart America Gold Award 2023-24,https://api.badgr.io/public/assertions/rzCANg1_Sra9-B49dq4lSA,Canvas Credentials (Badgr),Oct 2023,,65324d1397f3291e8a22360f
CyberStart America Silver Award 2023-24,https://api.badgr.io/public/assertions/qncDjldjTzGXUYQ5ibrxcg,Canvas Credentials (Badgr),Oct 2023,,65324d3492a6b77243168117
CyberStart America Bronze Award 2023-24,https://api.badgr.io/public/assertions/4vonLNFNQkuyqcjbkJ0zHQ,Canvas Credentials (Badgr),Oct 2023,,65324d60f4d1a96a66b10a42
ISC2 Candidate,https://www.credly.com/badges/1fadf371-db0f-4b33-8036-7db92398d7f6/linked_in_profile,ISC2,Sep 2023,Sep 2024,
Bloodborne Pathogens,https://nhcps.com/cat2-cert.php?c=30418,Save a Life Certifications by NHCPS,Sep 2023,,30418
CPR/AED/First Aid,https://nhcps.com/cat2-cert.php?c=8942,Save a Life Certifications by NHCPS,Sep 2023,,8942
Introduction to Career Skills in Software Development,https://www.linkedin.com/learning/certificates/e4290949318df451f9017d73ffa724fca3808b54c27c7bffd7f9318d95ed93d6,LinkedIn,Dec 2023,,
Programming Foundations: Fundamentals,https://www.linkedin.com/learning/certificates/e790a0e9e3540d8eb65c3174788ae89cb0c3be45455e8a2e3966b285256bbf33,LinkedIn,Dec 2023,,
Programming Foundations: Beyond the Fundamentals,https://www.linkedin.com/learning/certificates/32a0c0a91b84b0f2a9143aec07196138591be46e18d6850206c2384c8d4d0b7d,LinkedIn,Dec 2023,,
 Career Essentials in Software Development by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/318e1072e54bdb12171ea468aff6dfb11f73de80a75915178c9c2df1cd884060,Microsoft,Dec 2023,,
The Cybersecurity Threat Landscape,https://www.linkedin.com/learning/certificates/7cd73af399a965674ac0098563b26789badaf8821f70179571fe4ffeadf0d03e,LinkedIn,Dec 2023,,
Cybersecurity Awareness: Cybersecurity Terminology,https://www.linkedin.com/learning/certificates/327ce9a616d2081e1f6a6a579df338a7c5dd25e23a2225a05cd3578c2ad61afb,LinkedIn,Dec 2023,,
Administrative Professional Foundations,https://www.linkedin.com/learning/certificates/539ffba74f4979f9c5601b26586e1478e918bd16010f276aa5a53b34bdf3c8c5,LinkedIn,Dec 2023,,
What Is Business Analysis?,https://www.linkedin.com/learning/certificates/d2c973e7e7c6f3b017610e4a93c19ec6e99054841f141c9c184c9bc57ac8ea4d,LinkedIn,Dec 2023,,
Sustainability Foundations: Core Concepts,https://www.linkedin.com/learning/certificates/26f5783bd2dd93348b3218f21b920603b176cc0068a7ad203329a3eb41c493a3,LinkedIn,Dec 2023,,
Closing the Green Skills Gap to Power a Greener Economy and Drive Sustainability,https://www.linkedin.com/learning/certificates/4bf8ca0883b2bca822fac7aab878c545da61e6ce166bef94a13601e2e5edc703,LinkedIn,Dec 2023,,
Cybersecurity Foundations,https://www.linkedin.com/learning/certificates/d5f9f0e34098c1d024543c34b752e34ef5390a6ec2b5e26bcbfb8f14f8d2dbca,LinkedIn,Dec 2023,,
 Career Essentials in Cybersecurity by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/528ec66f6e7175fe3a9dbaa18fa84617f9508ba780893d42197acba731294eff,Microsoft,Dec 2023,,
Sustainability as an Innovation Opportunity,https://www.linkedin.com/learning/certificates/c6f1887e98bf16a0f87f4e480afddba020c34a7b18f67a0b7837e55ac7aca474,LinkedIn,Dec 2023,,
Including Sustainability in Your Cloud Strategy,https://www.linkedin.com/learning/certificates/09ca5096bcc1ca5c8ae6fb5ab3aa1b2ab4269211675b768ea8d266235e889703,LinkedIn,Dec 2023,,
Microsoft Cloud for Sustainability: ESG and the Future of Business,https://www.linkedin.com/learning/certificates/a5b3bc13e706cc34cc3f17ed1722c1c6764989f81e7178d30564d93ca1c55adb,LinkedIn,Dec 2023,,
Career Essentials in Sustainable Tech by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/4763eae31d874187923260329ec754ae038b7bbb831936e2defcdd6e5a758505,Microsoft,Dec 2023,,
Generative AI: The Evolution of Thoughtful Online Search,https://www.linkedin.com/learning/certificates/4c4cabf8cb130f055a1138e1fa3907777588b652642051507a727027bb3b1a8d,LinkedIn,Dec 2023,,
Streamlining Your Work with Copilot (formerly Bing Chat/Bing Chat Enterprise),https://www.linkedin.com/learning/certificates/295692f00a7cd885e054bed633be4db671a755db81ca281991d9925a4deb7a12,LinkedIn,Dec 2023,,
Microsoft 365 Copilot First Look,https://www.linkedin.com/learning/certificates/7cd47a467fc69584275ae7a08b0f89e0c7c7fb14ec4277473f05c968241f64d1,LinkedIn,Dec 2023,,
Introduction to Career Skills in Data Analytics,https://www.linkedin.com/learning/certificates/a41971edb1b3810be17e531b839d94d50e4f9145395536a9a6b236f1eeb2d300,LinkedIn,Dec 2023,,
Learning Data Analytics Part 2: Extending and Applying Core Knowledge,https://www.linkedin.com/learning/certificates/f56fc32a23f01e292be05f1b0d99ca443619fcce9296bf6e573338892c518077,LinkedIn,Dec 2023,,
Ethics in the Age of Generative AI,https://www.linkedin.com/learning/certificates/c0676e41be1454148674da46ab3f4b61db48178954b8a082160539b8ba807875,LinkedIn,Dec 2023,,
CyberStart America 2023-24 - December Award,https://api.badgr.io/public/assertions/0RhBoLqPSL69h893X-uliw,Canvas Credentials (Badgr),Jan 2024,,659c0cabdeaaaa3879ceab47
Official ISC2 CC Online Self-Paced Training - 1M,,ISC2,Mar 2024,,
National Cyber Scholarship Finalist 2024,https://api.badgr.io/public/assertions/Zp4IAbQzTmCCQwYTqoJ2QA,Canvas Credentials (Badgr),Mar 2024,,65ef4a9414a6136493eb5c7e
National Cyber Scholar 2024,https://api.badgr.io/public/assertions/qgckUPZ5RrG_W_UEr18BGQ,Canvas Credentials (Badgr),Mar 2024,,65ef4a929dda7d7ed33de0fa
 National Cyber Scholar with Honors 2024,https://api.badgr.io/public/assertions/pogKYQPWQGe73ioHnp50mg,Canvas Credentials (Badgr),Mar 2024,,65ef4a8e9dda7d7ed33de076
Postman API Fundamentals Student Expert,https://api.badgr.io/public/assertions/M_WMdL-TQ8mN4wm3K2e2DQ,Canvas Credentials (Badgr),Mar 2024,,65f6394a3c3a547f7b0674ee
Fundamental AI Concepts,https://learn.microsoft.com/api/achievements/share/en-us/DevkumarBanerjee-2225/K5KYA6WB?sharingId=63D6F791949D1F7F,Microsoft,Mar 2024,,
Fundamentals of Machine Learning,https://learn.microsoft.com/api/achievements/share/en-us/DevkumarBanerjee-2225/4S4XA9AK?sharingId=63D6F791949D1F7F,Microsoft,Mar 2024,,
IT Specialist - Artificial Intelligence,https://www.credly.com/badges/7496d417-cf2b-4b2d-92c4-1cdba005bbe9/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
IT Specialist - Java,https://www.credly.com/badges/ba810787-b18d-49bd-ae50-42e9032469a1/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
TestOut Linux Pro,https://certification.testout.com/verifycert/6-1C6-VG5V7R,TestOut Corporation,Apr 2024,,6-1C6-VG5V7R
Microsoft Certified: Azure AI Fundamentals,https://www.credly.com/badges/0a2d15ce-9227-4568-88b2-96c71e769eea/linked_in_profile,Microsoft,May 2024,,
PMI Project Management Ready™,https://www.credly.com/badges/b05dd4a5-2201-4e6a-ba56-bc531a6c89d7/linked_in_profile,Project Management Institute,May 2024,,
IC3 Digital Literacy Certification GS6 Level 3,https://www.credly.com/badges/05051080-c844-4a03-a63d-a2810e37de35/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
Cisco Certified Support Technician Cybersecurity (CCST Cybersecurity),https://www.credly.com/badges/049a56de-fb70-40cf-b1a6-73ef1cfc309f/linked_in_profile,Cisco,May 2024,,
Communication Skills for Business (CSB) - English for IT,https://www.credly.com/badges/b9b08b36-ad12-4005-b1cd-42b14ca1191d/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
Network Security Support Technician,https://www.credly.com/badges/545f78b4-9b13-4dc5-a804-aa2135ee5896/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
Cisco Certified Support Technician Networking (CCST Networking),https://www.credly.com/badges/d2e41865-937d-448a-bb38-1668136d5e40/linked_in_profile,Cisco,May 2024,,
Intuit Design for Delight Innovator,https://www.credly.com/badges/dad30880-295e-41cf-a712-9fdbb04e5899/linked_in_profile,Intuit,May 2024,,
"Microsoft Certified: Security, Compliance, and Identity Fundamentals",https://www.credly.com/badges/840cb7d6-a874-4ac9-ac28-bf1219114277/linked_in_profile,Microsoft,May 2024,,
Microsoft Certified: Azure Fundamentals,https://www.credly.com/badges/0f9675bf-a575-4990-8efd-1844ba9b1593/linked_in_profile,Microsoft,May 2024,,
ESB: Entrepreneurship and Small Business v.2,https://www.credly.com/badges/990be454-6db0-41d8-b9e8-580d84855067/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
Future Proof Economies: Workforce Ready,https://www.credly.com/badges/c23c2753-50e1-4254-a3d3-224dbe6d5e33/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
IT Specialist - Cybersecurity,https://www.credly.com/badges/64bc2083-850f-4c25-8b23-08ff59e15274/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
IT Specialist - Network Security,https://www.credly.com/badges/d3479fa6-491d-4e99-942d-72911f6de853/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
IT Specialist - Cloud Computing,https://www.credly.com/badges/f823bf5c-e945-45e4-b742-fbcdf22af358/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
IT Specialist - Device Configuration and Management,https://www.credly.com/badges/0d024d2e-77f1-41d9-b7fd-ed1f662c632c/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
Master Certification in Entrepreneurship,https://www.credly.com/badges/c0aa877b-ec6b-4a53-8294-591ee5babddf/linked_in_profile,Certiport - A Pearson VUE Business,May 2024,,
GIAC Security Essentials Certification (GSEC),https://www.credly.com/badges/e2e642f7-fd5d-43ac-a162-1fae3feba20f/linked_in_profile,GIAC Certifications,May 2024,May 2028,
GIAC Advisory Board,https://www.credly.com/badges/20cadea9-02a5-4cc4-bb19-0031a93f6fc2/linked_in_profile,GIAC Certifications,Aug 2023,May 2028,
"Season IV, US Cyber Open - Competitive CTF Participant",https://api.badgr.io/public/assertions/4kMREsLQRhCwCnNT2WsI7A,Canvas Credentials (Badgr),Jun 2024,,666c519a2088ab1176482639
Cybersecurity Foundations: IT Fundamentals,https://api.badgr.io/public/assertions/5CQzAWAJQQu9mpsmy4aWdA,Canvas Credentials (Badgr),Jul 2024,,66880056918b5d41ee38a08f
Cybersecurity Foundations: Cybersecurity Fundamentals,https://api.badgr.io/public/assertions/R5rE5Uh4R4CZyVzF0NouQg,Canvas Credentials (Badgr),Jul 2024,,6688077c35f5356cf92c728f
Cybersecurity Foundations: Compliance Fundamentals,https://api.badgr.io/public/assertions/ueovlMfWTjSjE5CgZKl24Q,Canvas Credentials (Badgr),Jul 2024,,6688657a918b5d41ee3913cd
Cybersecurity Foundations,https://api.badgr.io/public/assertions/z4XVJ6JeSf-qEVCarGOvhQ,Canvas Credentials (Badgr),Jul 2024,,668f2c596a25f849f705f7aa
Securing API Servers,https://www.credly.com/badges/40c9c4d8-e9a1-40f5-9965-9314615e1e2d/linked_in_profile,APIsec University,Jul 2024,,
API Documentation Best Practices,https://www.credly.com/badges/d2cd114e-4740-442b-aecc-8b8e6403d264/linked_in_profile,APIsec University,Jul 2024,,
API Security Fundamentals,https://www.credly.com/badges/2f2c6865-bc83-4002-90fa-4f61bdb28083/linked_in_profile,APIsec University,Jul 2024,,
Generative AI for Business Leaders,https://www.linkedin.com/learning/certificates/6b3896552fa2361bbc2e72547cebde3d48130efd10d165b6ef8b634f7d513cfa,LinkedIn,Jul 2024,,
How to Keep Your Team on the Bleeding Edge of AI Innovation,https://www.linkedin.com/learning/certificates/21458c7c3c0267e0e651d6d832cba3a973683252dcb86f6a3d5641b369263095,LinkedIn,Jul 2024,,
AI Challenges and Opportunities for Leadership,https://www.linkedin.com/learning/certificates/056c4d88a2146ae80267e2a66142d68cab2697b7dd43ba0f02a657f35cfd521c,LinkedIn,Jul 2024,,
Integrating Generative AI into Business Strategy,https://www.linkedin.com/learning/certificates/59afc7a213d21a61f4b36e088dced0275e8f8a4367688d731fc2575a62f23c8d,LinkedIn,Jul 2024,,
Build AI Aptitude in Your Organization as a Leader,https://www.linkedin.com/learning/certificates/55a9cd13bd94ae362eee88acb1d7e65bf2485504de71f2ac6273715ac256ad4d,LinkedIn,Jul 2024,,
Leading Responsible AI in Organizations,https://www.linkedin.com/learning/certificates/336db358dcce6271687dc81c2d1c01db7436a75616274a937d190f7fdbebb0bd,LinkedIn,Jul 2024,,
AI for Organizational Leaders by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/10f8450a0ab0f8d99d65b3bf941baa29350aef4bea5a148728812bedf049fc2d,Microsoft,Jul 2024,,
What Is Generative AI?,https://www.linkedin.com/learning/certificates/4f71e6700e0189c9c8b3f88c26e6909f1eaf2372d9a35d94b3172a4136bc3fe1,LinkedIn,Jul 2024,,
Introduction to Artificial Intelligence,https://www.linkedin.com/learning/certificates/b8a2d68e2d42712e738836ebe6c5e33e826a9bdce4f83c36e8b9802335cea274,LinkedIn,Jul 2024,,
Streamlining Your Work with Microsoft Copilot,https://www.linkedin.com/learning/certificates/5982940c6a2689d13652bc3720dedcd31ef9aa104fe898cd3a96c4a597e1ee1d,LinkedIn,Jul 2024,,
Career Essentials in Generative AI by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/49cb02fd99c714c2cf485708338328f99f3eff77aee83ad5b13f04cd64260441,Microsoft,Jul 2024,,
Career Essentials in Data Analysis by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/ce2588d3661137592212cd05e1cb6941fa77568ab854d2a3fbb1fc63b55cc67f,Microsoft,Jul 2024,,
Introduction to Prompt Engineering for Generative AI,https://www.linkedin.com/learning/certificates/6ad4ddba17f05af33b0840247d616afe8b07be49f5b99ce1999f27848c93637c,LinkedIn,Jul 2024,,
Business Analysis Foundations,https://www.linkedin.com/learning/certificates/c91da6e5187826ab1ab081f5acaba3a96c0e61cd8289f2d26a56b489b5a7b934,LinkedIn,Jul 2024,,
AI Productivity Hacks to Reimagine Your Workday and Career,https://www.linkedin.com/learning/certificates/6127a7a58f55f91fb21b9e8e3e44b89b4fc36317b3ca58edee38ca1b6615f692,LinkedIn,Jul 2024,,
Career Essentials in System Administration by Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/fed1df5cf0dc650cc6ce1f138e11da08b9aa816fff965284cc53326fed8f106f,Microsoft,Jul 2024,,
"Generative AI Skills for Creative Content: Opportunities, Issues, and Ethics",https://www.linkedin.com/learning/certificates/3e58044eb5b0409d015ea0b1e91e691c29d5b1415bc27445193063a059677bb6,LinkedIn,Jul 2024,,
Agile Requirements Foundations,https://www.linkedin.com/learning/certificates/30801d7921086544b008b28b445fcc4f35ea74ba07151277bcd74b60ef650370,LinkedIn,Jul 2024,,
Copilot in PowerPoint: From Prompt to Presentation,https://www.linkedin.com/learning/certificates/68a4db04f7d834a20b8a37a93648376713e1cda8075e1d1d491085ed4416685e,LinkedIn,Jul 2024,,
Business Benefits Realization Foundations,https://www.linkedin.com/learning/certificates/d71709c12511a3c330ed466ba27e701e0d476da14305a9ab061852bfed80b2d8,LinkedIn,Jul 2024,,
Build Your Generative AI Productivity Skills with Microsoft and LinkedIn,https://www.linkedin.com/learning/certificates/d073be46cae48cad2f146f973aaadfd9d13912222e67a936d6713733cdd92fc1,Microsoft,Jul 2024,,
Excel with Copilot: AI-Driven Data Analysis,https://www.linkedin.com/learning/certificates/5939f3431f2ab2b5da621b922a637fa9c90315dd019a68eb6943105831719d1e,LinkedIn,Jul 2024,,
Practical GitHub Actions,https://www.linkedin.com/learning/certificates/16c3f8927489dec8895dc3352f19eb3765e7dbcc029b58cdf0c009e9b2baacf8,LinkedIn,Jul 2024,,
Project Management Foundations,https://www.linkedin.com/learning/certificates/3c8edd3a13eda4f1784d45398ca64ca57319a863265cc81575953c5a95a0174c,LinkedIn,Jul 2024,,
Requirements Elicitation and Analysis,https://www.linkedin.com/learning/certificates/5eb45e3146756b9041d2cab2190ace0862806dd944ffa7b4d3c06296c04a8d56,LinkedIn,Jul 2024,,
Copilot in Teams: AI-Powered Collaboration,https://www.linkedin.com/learning/certificates/f647bfd3d1cccb70a745ab0e5c1dc386b693e348c51989669217b328cd8aff9e,LinkedIn,Jul 2024,,
Practical GitHub Project Management and Collaboration,https://www.linkedin.com/learning/certificates/3a26e44f9cd3e61ddc370ad6f1a60764935c8e52771e806144f824687339a09b,LinkedIn,Jul 2024,,
Copilot in Outlook: Maximize Your Workday Efficiency,https://www.linkedin.com/learning/certificates/2a2cdbd7ed4742d56db9b32108127a1bfac007101718f7e1f2f7cf8a34494fe1,LinkedIn,Jul 2024,,
Practical GitHub Copilot,https://www.linkedin.com/learning/certificates/6f0a93f8f3c587ca6a01d611a9c0bd82684f107ebb365607a5ec6da113970d21,LinkedIn,Jul 2024,,
Copilot in Word: Create and Refine Documents with AI,https://www.linkedin.com/learning/certificates/25afd0ff591dc904f58213793f190725cfee117d2ffcdc202941bf9a1f4592e3,LinkedIn,Jul 2024,,
Practical GitHub Code Search,https://www.linkedin.com/learning/certificates/c52a776c4293648a85a8ec78fee31aac7fe38126e6939a7f64201ebe28673afa,LinkedIn,Jul 2024,,
Project Management Foundations: Ethics,https://www.linkedin.com/learning/certificates/a189862ebfaff34f716eee028f1c874a8b65757b8264350348fa5a3488ff25cc,LinkedIn,Jul 2024,,
Administrative Professional Tips,https://www.linkedin.com/learning/certificates/c339a0162151636862749b71e31b7b532bfe1eff07db9f5d623119de2bce0f7b,LinkedIn,Jul 2024,,
Business Analysis Foundations: Business Process Modeling,https://www.linkedin.com/learning/certificates/092c49ca4a3e154e17c664816fca8da9bef0f7729ffa8df278948fd751b87861,LinkedIn,Jul 2024,,
Career Essentials in GitHub Professional Certificate,https://www.linkedin.com/learning/certificates/f80db8c68628e44d1d7073d005a7cc6920eed345436ab09414bdfcd336883e53,GitHub,Jul 2024,,
Use Copilot AI for Secure Work Data in Your Organization,https://www.linkedin.com/learning/certificates/f2d5c4a78ebbc07de46d50c064322fd8cbb8265d04fd818de9a2dbfaf89bf65f,LinkedIn,Jul 2024,,
Requirements Elicitation for Business Analysts: Interviews,https://www.linkedin.com/learning/certificates/39a96ed06943587fc486e71c3377b799f60a8451152f248d13a9987a8fe9a43b,LinkedIn,Jul 2024,,
Communication Foundations (2018),https://www.linkedin.com/learning/certificates/da22a72be4530759bc982a53e421f7c4b9258e240ede87dc3938400dcb587626,LinkedIn,Jul 2024,,
Microsoft Copilot: The Art of Prompt Writing,https://www.linkedin.com/learning/certificates/ef44e36abcb4d4118146d3aee3c106207cd8abc4f6ca0b2b6fbd87d9d6f3885f,LinkedIn,Jul 2024,,
Business Analyst and Project Manager Collaboration,https://www.linkedin.com/learning/certificates/55073fa6c398dfd2a922ab058ccfa1f41b2a2c405c615421db35a572f049ff35,LinkedIn,Jul 2024,,
Getting Started with Microsoft 365,https://www.linkedin.com/learning/certificates/e08656ea1d9d8198d877e2cc8c78e1788c047cf2caf7058eaa7435b1383cd914,LinkedIn,Jul 2024,,
Project Management Foundations: Requirements,https://www.linkedin.com/learning/certificates/9bf89dd14781b2146098c4f2589cfe1125a9991406a421f220ccbced939d4692,LinkedIn,Jul 2024,,
Managing Projects with Microsoft 365,https://www.linkedin.com/learning/certificates/523cbaf6a0e8abc4365d7f44774d9e07b69d5f44f623dc04eb241bb7ad6fd5fb,LinkedIn,Jul 2024,,
Optimizing Your Work with Microsoft 365,https://www.linkedin.com/learning/certificates/522f0dc9651dac1613112fa7f6d4324239f503082fc3e0966d63850ae9531e7e,LinkedIn,Jul 2024,,
Learning Data Science: Understanding the Basics,https://www.linkedin.com/learning/certificates/4436b87bab6d4fcea13dfd5f0220b4bac104f0e05f8a97c75c544714add90f15,LinkedIn,Jul 2024,,
Collaborating with Microsoft 365,https://www.linkedin.com/learning/certificates/a760ac80a2cf545a631ddab2706f89254a669e0ab75691d3e3a86ba9eb1a6187,LinkedIn,Jul 2024,,
Project Management Foundations: Schedules,https://www.linkedin.com/learning/certificates/f48804f9dd261ee5cd04d5749c1061daa2b2db9dc7fcac000bcc602ed5047cc6,LinkedIn,Jul 2024,,
Managing Data with Microsoft 365,https://www.linkedin.com/learning/certificates/db92aa5025c41a5de8db7b9bd31f46cf854eb48ab646657837dcfd9f0e567a0c,LinkedIn,Jul 2024,,
Project Management Foundations: Budgets,https://www.linkedin.com/learning/certificates/ada98e228d1f5827b28a982a9908c6fdced2d243e6bae1be6d2303b603045b82,LinkedIn,Jul 2024,,
